pathway	pval	padj	log2err	ES	NES	size	leadingEdge
PRESYNAPTIC PHASE OF HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693616.6	1.2379827975670291e-11	1.2967211303026562e-9	0.8753251320246591	-0.7937539100788686	-2.58232904875225	39	
PID_ATR_PATHWAY%MSIGDB_C2%PID_ATR_PATHWAY	1.3905528252968585e-11	1.4411982229339863e-9	0.8753251320246591	-0.8258193265186833	-2.5309013311394915	32	
DEPOSITION OF NEW CENPA-CONTAINING NUCLEOSOMES AT THE CENTROMERE%REACTOME DATABASE ID RELEASE 93%606279	1.5682394099315272e-11	1.5918438381634863e-9	0.8634153916066928	-0.7927724037416108	-2.5615071488306342	38	
NUCLEOSOME ASSEMBLY%REACTOME DATABASE ID RELEASE 93%774815	1.5682394099315272e-11	1.5918438381634863e-9	0.8634153916066928	-0.7927724037416108	-2.5615071488306342	38	
TELOMERE MAINTENANCE%REACTOME DATABASE ID RELEASE 93%157579	1.600114194686233e-11	1.60762493478374e-9	0.8634153916066928	-0.6843682835977741	-2.530720470122646	74	
DNA REPLICATION INITIATION%GOBP%GO:0006270	1.6773734747106713e-11	1.668224164848613e-9	0.8634153916066928	-0.8752898865153125	-2.521096766286528	24	
IMPAIRED BRCA2 BINDING TO RAD51%REACTOME%R-HSA-9709570.2	1.8139791476644902e-11	1.7860438687904568e-9	0.8634153916066928	-0.813208923411732	-2.5230704543847313	34	
POSITIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901992	1.9534217789556465e-11	1.904296122336366e-9	0.8634153916066928	-0.7038733013556693	-2.5238315359532537	66	
DEFECTIVE HOMOLOGOUS RECOMBINATION REPAIR (HRR) DUE TO BRCA2 LOSS OF FUNCTION%REACTOME%R-HSA-9701190.3	2.933363510311497e-11	2.8040676817987376e-9	0.851339057116899	-0.7853113209101588	-2.565548291249734	40	
DISEASES OF DNA DOUBLE-STRAND BREAK REPAIR%REACTOME%R-HSA-9675136.4	2.933363510311497e-11	2.8040676817987376e-9	0.851339057116899	-0.7853113209101588	-2.565548291249734	40	
MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN MITOSIS%GOBP%GO:1902850	3.051157969599807e-11	2.8886251316038174e-9	0.851339057116899	-0.6089516533822764	-2.3844321739871868	113	
PROCESSING OF CAPPED INTRON-CONTAINING PRE-MRNA%REACTOME DATABASE ID RELEASE 93%72203	3.353745570578567e-11	3.1448551321825308e-9	0.851339057116899	-0.47658435489300666	-2.090872789349126	272	
UNWINDING OF DNA%REACTOME%R-HSA-176974.4	3.8396921407549966e-11	3.5665668696107263e-9	0.851339057116899	-0.9615384615384616	-2.3215203270268603	12	
DISEASES OF DNA REPAIR%REACTOME%R-HSA-9675135.6	4.6716317276088255e-11	4.298774391592196e-9	0.851339057116899	-0.7513990812404207	-2.5648264304710646	49	
MEIOTIC NUCLEAR DIVISION%GOBP%GO:0140013	4.983593197354141e-11	4.543375798254525e-9	0.851339057116899	-0.67575829832484	-2.4988816685593704	74	
METAPHASE CHROMOSOME ALIGNMENT%GOBP%GO:0051310	5.773049277208915e-11	5.214811301229264e-9	0.851339057116899	-0.6746654857060276	-2.494840564769613	74	
REGULATION OF DNA-TEMPLATED DNA REPLICATION%GOBP%GO:0090329	6.984255629963987e-11	6.210790566954079e-9	0.8390889356212738	-0.8239897072073822	-2.4875311860409246	30	
REGULATION OF DNA REPLICATION%GOBP%GO:0006275	7.00180533142294e-11	6.210790566954079e-9	0.8390889356212738	-0.6296994738386472	-2.3836501332395086	92	
DNA REPLICATION PRE-INITIATION%REACTOME%R-HSA-69002.4	8.008149410494662e-11	7.040021347833075e-9	0.8390889356212738	-0.6128564858279879	-2.3671503209005276	101	
REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0010389	8.446116106816496e-11	7.359332671479223e-9	0.8390889356212738	-0.6470926358762119	-2.4340367069309083	83	
HDR THROUGH SINGLE STRAND ANNEALING (SSA)%REACTOME DATABASE ID RELEASE 93%5685938	1.1650474474943847e-10	1.0062330849148869e-8	0.826657301178302	-0.7954470035881337	-2.5121292546860086	36	
REGULATION OF CELL CYCLE CHECKPOINT%GOBP%GO:1901976	1.4930455660459503e-10	1.2783066646337762e-8	0.826657301178302	-0.773706982181544	-2.5171101394780147	39	
G1 S-SPECIFIC TRANSCRIPTION%REACTOME%R-HSA-69205.5	1.5648528128421714e-10	1.3282362754520708e-8	0.826657301178302	-0.8368473755483701	-2.4745837012759493	27	
NUCLEAR DNA REPLICATION%GOBP%GO:0033260	1.7001844661249932e-10	1.4307706199544174e-8	0.826657301178302	-0.882524129910846	-2.4575504536116712	20	
E2F TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%E2F TRANSCRIPTION FACTOR NETWORK	2.0506861923137615e-10	1.7111064618238384e-8	0.826657301178302	-0.6844271298041946	-2.4541046960224846	66	
POSITIVE REGULATION OF MITOTIC CELL CYCLE%GOBP%GO:0045931	3.0872807330972144e-10	2.5544005124432917e-8	0.8140358378479079	-0.6239532036259935	-2.361598082796509	88	
CELL CYCLE PHASE TRANSITION%GOBP%GO:0044770	3.385139537571799e-10	2.777506990577661e-8	0.8140358378479079	-0.5840263141440538	-2.284826761798901	111	
PID_E2F_PATHWAY%MSIGDB_C2%PID_E2F_PATHWAY	4.4306795555026814e-10	3.605328173841273e-8	0.8140358378479079	-0.7127685010640016	-2.4298458315997755	52	
CELL CYCLE DNA REPLICATION%GOBP%GO:0044786	5.098165278763571e-10	4.114470109402141e-8	0.8012155746177786	-0.869049135070839	-2.454431221968364	21	
POSITIVE REGULATION OF DNA METABOLIC PROCESS%GOBP%GO:0051054	6.099781369694392e-10	4.804675789280879e-8	0.8012155746177786	-0.4758170541129598	-2.0570319950589995	229	
LAGGING STRAND SYNTHESIS%REACTOME%R-HSA-69186.4	7.437015848342563e-10	5.811496670061974e-8	0.8012155746177786	-0.8848116274030822	-2.4172529251788677	19	
DNA STRAND ELONGATION%GOBP%GO:0022616	8.249796774364721e-10	6.345898362530862e-8	0.8012155746177786	-0.87035082267816	-2.4236516448452026	20	
REGULATION OF SPINDLE CHECKPOINT%GOBP%GO:0090231	8.955789577991676e-10	6.835558463946205e-8	0.8012155746177786	-0.8642487217325205	-2.4408735485291495	21	
NEGATIVE REGULATION OF NUCLEAR DIVISION%GOBP%GO:0051784	9.680095262848165e-10	7.112702832686793e-8	0.7881868108002371	-0.7842813728280332	-2.433319535409022	34	
DNA STRAND ELONGATION INVOLVED IN DNA REPLICATION%GOBP%GO:0006271	1.088596393206557e-9	7.601645452136e-8	0.7881868108002371	-0.9125406086306536	-2.3555348397257907	15	
REGULATION OF CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:1902749	1.211852109238034e-9	8.343983124166212e-8	0.7881868108002371	-0.6059878270133358	-2.288941302721878	91	
MITOTIC SPINDLE ORGANIZATION%GOBP%GO:0007052	1.3150535855338498e-9	8.929667312528474e-8	0.7881868108002371	-0.6212743572402858	-2.3479586069919125	86	
BIOCARTA_MCM_PATHWAY%MSIGDB_C2%BIOCARTA_MCM_PATHWAY	1.427788251685485e-9	9.563267432717883e-8	0.7881868108002371	-0.9239242404937433	-2.3437823199776266	14	
BASE EXCISION REPAIR%REACTOME%R-HSA-73884.4	1.97018632428537e-9	1.2596399057736203e-7	0.7749390301364363	-0.6996408547657869	-2.411563039633873	53	
DNA SYNTHESIS INVOLVED IN DNA REPAIR%GOBP%GO:0000731	2.1221425022907694e-9	1.348039682422898e-7	0.7749390301364363	-0.7762358739518438	-2.3926768255956206	33	
FANCONI ANEMIA PATHWAY%REACTOME DATABASE ID RELEASE 93%6783310	2.478929801213782e-9	1.5546205619586558e-7	0.7749390301364363	-0.7712989004570422	-2.4019774437057055	35	
DOUBLE-STRAND BREAK REPAIR VIA BREAK-INDUCED REPLICATION%GOBP%GO:0000727	2.9411051362414694e-9	1.8327924792046523e-7	0.7749390301364363	-0.9469960566335441	-2.2608279330527785	11	
HOMOLOGOUS RECOMBINATION%GOBP%GO:0035825	3.2204432224367876e-9	1.9942442747240636e-7	0.7749390301364363	-0.7322889581974233	-2.4152148860264377	43	
NEGATIVE REGULATION OF MITOTIC NUCLEAR DIVISION%GOBP%GO:0045839	3.2521251576202117e-9	2.0012765188705378e-7	0.7749390301364363	-0.7797492607311483	-2.3897096841494783	32	
CYCLIN A B1 B2 ASSOCIATED EVENTS DURING G2 M TRANSITION%REACTOME%R-HSA-69273.10	3.5879695293285036e-9	2.1540943893761247e-7	0.7749390301364363	-0.7869042327965687	-2.375574357770977	30	
MEIOSIS I CELL CYCLE PROCESS%GOBP%GO:0061982	3.828930300726835e-9	2.2574639365842167e-7	0.7614608014455848	-0.6845724360623042	-2.4049853995594095	57	
MICROTUBULE ORGANIZING CENTER ORGANIZATION%GOBP%GO:0031023	4.2253073286192665e-9	2.47633190223722e-7	0.7614608014455848	-0.5973575470028626	-2.2820936563572354	95	
POLYMERASE SWITCHING ON THE C-STRAND OF THE TELOMERE%REACTOME DATABASE ID RELEASE 93%174411	4.338140045967283e-9	2.527415792461176e-7	0.7614608014455848	-0.8355196448420505	-2.4065465707209586	24	
CENTROSOME CYCLE%GOBP%GO:0007098	4.3674651353808695e-9	2.529533042527061e-7	0.7614608014455848	-0.6152138240614095	-2.3141246667861406	83	
CELL CYCLE G2/M PHASE TRANSITION%GOBP%GO:0044839	4.558403078621972e-9	2.62468050948023e-7	0.7614608014455848	-0.7424499336587025	-2.437690805872051	41	
PLK1 SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PLK1 SIGNALING EVENTS	4.65947807881063e-9	2.667280300230783e-7	0.7614608014455848	-0.714283445227266	-2.3898680891029715	46	
RESOLUTION OF D-LOOP STRUCTURES%REACTOME%R-HSA-5693537.3	4.916351898122705e-9	2.798057849070298e-7	0.7614608014455848	-0.7638182925930276	-2.3786813501368917	35	
REGULATION OF MITOTIC CELL CYCLE SPINDLE ASSEMBLY CHECKPOINT%GOBP%GO:0090266	5.5762555832363455e-9	3.1281916967928413e-7	0.7614608014455848	-0.8523784097071467	-2.3736041615499053	20	
REGULATION OF MITOTIC SPINDLE CHECKPOINT%GOBP%GO:1903504	5.5762555832363455e-9	3.1281916967928413e-7	0.7614608014455848	-0.8523784097071467	-2.3736041615499053	20	
